FID,Point_ID,BUFF_DIST,KEEP
0,P1,10000.000000000000000,1
1,P2,10000.000000000000000,1
2,P3,10000.000000000000000,1
3,P4,10000.000000000000000,1
4,P5,10000.000000000000000,1
5,P6,10000.000000000000000,1
6,P7,10000.000000000000000,1
7,P8,10000.000000000000000,1
8,P9,10000.000000000000000,1
9,P10,10000.000000000000000,1
10,P11,10000.000000000000000,1
11,P12,10000.000000000000000,1
12,P13,10000.000000000000000,1
13,P14,10000.000000000000000,1
14,P15,10000.000000000000000,1
15,P16,10000.000000000000000,1
16,P17,10000.000000000000000,1
17,P18,10000.000000000000000,1
18,P19,10000.000000000000000,1
19,P20,10000.000000000000000,1
20,P21,10000.000000000000000,1
21,P22,10000.000000000000000,1
22,P23,10000.000000000000000,1
23,P24,10000.000000000000000,1
24,P25,10000.000000000000000,1
25,P26,10000.000000000000000,1
26,P27,10000.000000000000000,1
27,P28,10000.000000000000000,1
28,P29,10000.000000000000000,1
29,P30,10000.000000000000000,1
30,P31,10000.000000000000000,1
31,P32,10000.000000000000000,1
32,P33,10000.000000000000000,1
33,P34,10000.000000000000000,1
34,P35,10000.000000000000000,1
35,P36,10000.000000000000000,1
36,P37,10000.000000000000000,1
37,P38,10000.000000000000000,1
38,P39,10000.000000000000000,1
39,P40,10000.000000000000000,1
40,P41,10000.000000000000000,1
41,P42,10000.000000000000000,1
42,P43,10000.000000000000000,1
43,P44,10000.000000000000000,1
44,P45,10000.000000000000000,1
45,P46,10000.000000000000000,1
46,P47,10000.000000000000000,1
47,P48,10000.000000000000000,1
48,P49,10000.000000000000000,1
49,P50,10000.000000000000000,1
50,P51,10000.000000000000000,1
51,P52,10000.000000000000000,1
52,P53,10000.000000000000000,1
53,P54,10000.000000000000000,1
54,P55,10000.000000000000000,1
55,P56,10000.000000000000000,1
56,P57,10000.000000000000000,1
57,P58,10000.000000000000000,1
58,P59,10000.000000000000000,1
59,P60,10000.000000000000000,1
60,P61,10000.000000000000000,1
61,P62,10000.000000000000000,1
62,P63,10000.000000000000000,1
63,P64,10000.000000000000000,1
64,P65,10000.000000000000000,1
65,P66,10000.000000000000000,1
66,P67,10000.000000000000000,1
67,P68,10000.000000000000000,1
68,P69,10000.000000000000000,1
69,P70,10000.000000000000000,1
70,P71,10000.000000000000000,1
71,P72,10000.000000000000000,1
72,P73,10000.000000000000000,1
73,P74,10000.000000000000000,1
74,P75,10000.000000000000000,1
75,P76,10000.000000000000000,1
76,P77,10000.000000000000000,1
77,P78,10000.000000000000000,1
78,P79,10000.000000000000000,1
79,P80,10000.000000000000000,1
80,P81,10000.000000000000000,1
81,P82,10000.000000000000000,1
82,P83,10000.000000000000000,1
83,P84,10000.000000000000000,1
84,P85,10000.000000000000000,1
85,P86,10000.000000000000000,1
86,P87,10000.000000000000000,1
87,P88,10000.000000000000000,1
88,P89,10000.000000000000000,1
89,P90,10000.000000000000000,0
90,P91,10000.000000000000000,1
91,P92,10000.000000000000000,1
92,P93,10000.000000000000000,1
93,P94,10000.000000000000000,1
94,P95,10000.000000000000000,1
95,P96,10000.000000000000000,1
96,P97,10000.000000000000000,1
97,P98,10000.000000000000000,1
98,P99,10000.000000000000000,0
99,P100,10000.000000000000000,0
100,P101,10000.000000000000000,1
101,P102,10000.000000000000000,1
102,P103,10000.000000000000000,1
103,P104,10000.000000000000000,1
104,P105,10000.000000000000000,1
105,P106,10000.000000000000000,1
106,P107,10000.000000000000000,1
107,P108,10000.000000000000000,1
108,P109,10000.000000000000000,1
109,P110,10000.000000000000000,1
110,P111,10000.000000000000000,1
111,P112,10000.000000000000000,1
112,P113,10000.000000000000000,1
113,P114,10000.000000000000000,1
114,P115,10000.000000000000000,1
115,P116,10000.000000000000000,1
116,P117,10000.000000000000000,1
117,P118,10000.000000000000000,1
118,P119,10000.000000000000000,1
119,P120,10000.000000000000000,1
120,P121,10000.000000000000000,1
121,P122,10000.000000000000000,1
122,P123,10000.000000000000000,1
123,P124,10000.000000000000000,1
124,P125,10000.000000000000000,1
125,P126,10000.000000000000000,1
126,P127,10000.000000000000000,1
127,P128,10000.000000000000000,1
128,P129,10000.000000000000000,1
129,P130,10000.000000000000000,1
130,P131,10000.000000000000000,1
131,P132,10000.000000000000000,1
132,P133,10000.000000000000000,1
133,P134,10000.000000000000000,1
134,P135,10000.000000000000000,1
135,P136,10000.000000000000000,1
136,P137,10000.000000000000000,1
137,P138,10000.000000000000000,1
138,P139,10000.000000000000000,1
139,P140,10000.000000000000000,1
140,P141,10000.000000000000000,1
141,P142,10000.000000000000000,1
142,P143,10000.000000000000000,1
143,P144,10000.000000000000000,1
144,P145,10000.000000000000000,1
145,P146,10000.000000000000000,1
146,P147,10000.000000000000000,1
147,P148,10000.000000000000000,1
148,P149,10000.000000000000000,1
149,P150,10000.000000000000000,1
150,P151,10000.000000000000000,1
151,P152,10000.000000000000000,1
152,P153,10000.000000000000000,1
153,P154,10000.000000000000000,1
154,P155,10000.000000000000000,1
155,P156,10000.000000000000000,1
156,P157,10000.000000000000000,1
157,P158,10000.000000000000000,1
158,P159,10000.000000000000000,1
159,P160,10000.000000000000000,1
160,P161,10000.000000000000000,1
161,P162,10000.000000000000000,1
162,P163,10000.000000000000000,1
163,P164,10000.000000000000000,1
164,P165,10000.000000000000000,1
165,P166,10000.000000000000000,1
166,P167,10000.000000000000000,1
167,P168,10000.000000000000000,1
168,P169,10000.000000000000000,1
169,P170,10000.000000000000000,1
170,P171,10000.000000000000000,1
171,P172,10000.000000000000000,1
172,P173,10000.000000000000000,1
173,P174,10000.000000000000000,1
174,P175,10000.000000000000000,1
175,P176,10000.000000000000000,1
176,P177,10000.000000000000000,1
177,P178,10000.000000000000000,1
178,P179,10000.000000000000000,1
179,P180,10000.000000000000000,1
180,P181,10000.000000000000000,1
181,P182,10000.000000000000000,1
182,P183,10000.000000000000000,1
183,P184,10000.000000000000000,1
184,P185,10000.000000000000000,1
185,P186,10000.000000000000000,1
186,P187,10000.000000000000000,1
187,P188,10000.000000000000000,1
188,P189,10000.000000000000000,1
189,P190,10000.000000000000000,1
190,P191,10000.000000000000000,1
191,P192,10000.000000000000000,0
192,P193,10000.000000000000000,1
193,P194,10000.000000000000000,1
194,P195,10000.000000000000000,1
195,P196,10000.000000000000000,0
196,P197,10000.000000000000000,1
197,P198,10000.000000000000000,1
198,P199,10000.000000000000000,1
199,P200,10000.000000000000000,1
200,P201,10000.000000000000000,1
201,P202,10000.000000000000000,1
202,P203,10000.000000000000000,1
203,P204,10000.000000000000000,1
204,P205,10000.000000000000000,1
205,P206,10000.000000000000000,1
206,P207,10000.000000000000000,1
207,P208,10000.000000000000000,1
208,P209,10000.000000000000000,1
209,P210,10000.000000000000000,1
210,P211,10000.000000000000000,1
211,P212,10000.000000000000000,1
212,P213,10000.000000000000000,1
213,P214,10000.000000000000000,1
214,P215,10000.000000000000000,1
215,P216,10000.000000000000000,1
216,P217,10000.000000000000000,1
217,P218,10000.000000000000000,1
218,P219,10000.000000000000000,1
219,P220,10000.000000000000000,1
220,P221,10000.000000000000000,1
221,P222,10000.000000000000000,1
222,P223,10000.000000000000000,1
223,P224,10000.000000000000000,1
224,P225,10000.000000000000000,1
225,P226,10000.000000000000000,1
226,P227,10000.000000000000000,1
227,P228,10000.000000000000000,1
228,P229,10000.000000000000000,1
229,P230,10000.000000000000000,1
230,P231,10000.000000000000000,1
231,P232,10000.000000000000000,1
232,P233,10000.000000000000000,1
233,P234,10000.000000000000000,1
234,P235,10000.000000000000000,1
235,P236,10000.000000000000000,1
236,P237,10000.000000000000000,1
237,P238,10000.000000000000000,1
238,P239,10000.000000000000000,1
239,P240,10000.000000000000000,1
240,P241,10000.000000000000000,1
241,P242,10000.000000000000000,1
242,P243,10000.000000000000000,1
243,P244,10000.000000000000000,1
244,P245,10000.000000000000000,1
245,P246,10000.000000000000000,1
246,P247,10000.000000000000000,1
247,P248,10000.000000000000000,1
248,P249,10000.000000000000000,1
249,P250,10000.000000000000000,1
250,P251,10000.000000000000000,1
251,P252,10000.000000000000000,1
252,P253,10000.000000000000000,1
253,P254,10000.000000000000000,1
254,P255,10000.000000000000000,1
255,P256,10000.000000000000000,1
256,P257,10000.000000000000000,1
257,P258,10000.000000000000000,1
258,P259,10000.000000000000000,1
259,P260,10000.000000000000000,1
260,P261,10000.000000000000000,1
261,P262,10000.000000000000000,1
262,P263,10000.000000000000000,1
263,P264,10000.000000000000000,1
264,P265,10000.000000000000000,1
265,P266,10000.000000000000000,1
266,P267,10000.000000000000000,1
267,P268,10000.000000000000000,1
268,P269,10000.000000000000000,1
269,P270,10000.000000000000000,1
270,P271,10000.000000000000000,1
271,P272,10000.000000000000000,1
272,P273,10000.000000000000000,1
273,P274,10000.000000000000000,1
274,P275,10000.000000000000000,1
275,P276,10000.000000000000000,1
276,P277,10000.000000000000000,1
277,P278,10000.000000000000000,1
278,P279,10000.000000000000000,1
279,P280,10000.000000000000000,1
280,P281,10000.000000000000000,1
281,P282,10000.000000000000000,1
282,P283,10000.000000000000000,1
283,P284,10000.000000000000000,1
284,P285,10000.000000000000000,1
285,P286,10000.000000000000000,1
286,P287,10000.000000000000000,1
