"Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","Year_collected_end","U_depth_m","L_depth_m","Method","Data_type","OC_perc","BD_reported_g_cm3","Core","SOM_perc","SOM_perc_Heiri","N_perc","Conv_factor","Original_source","Soil_type","Admin_unit","Depth_to_bedrock_m","Treatment","Time_replicate","n_cores","SOM_perc_mean","SOM_perc_sd","OC_perc_mean","OC_perc_sd","OC_perc_se","BD_reported_g_cm3_mean","BD_reported_g_cm3_se","BD_reported_g_cm3_sd","OC_perc_combined","SOM_perc_combined","BD_reported_combined","DOI","Horizon_mid_depth_cm","Horizon_bin_cm","OC_from_SOM_our_eq","OC_obs_est","OC_perc_final","Notes","Lat_Long"
"Adame et al 2013","MFA Tul1S1","Sian kaan Tular 1","Tul1S1","Salt marsh",19.79358333,-87.5743,"direct from dataset",1,"Mexico",2011,NA,0,0.15,"combined LOI EA","Core-level",0.78,0.77,NA,NA,NA,NA,NA,"Adame et al 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,0.77,"https://doi.org/10.1371/journal.pone.0056569",7.5,"0-15cm",NA,"Observed",0.78,NA,"19.79358333_-87.5743"
"Adame et al 2013","MFA Tul1S2","Sian kaan Tular 1","Tul1S2","Salt marsh",19.79363333,-87.57433333,"direct from dataset",1,"Mexico",2011,NA,0,0.15,"combined LOI EA","Core-level",9.17,0.3,NA,NA,NA,NA,NA,"Adame et al 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.17,NA,0.3,"https://doi.org/10.1371/journal.pone.0056569",7.5,"0-15cm",NA,"Observed",9.17,NA,"19.79363333_-87.57433333"
"Adame et al 2013","MFA Tul1S3","Sian kaan Tular 1","Tul1S3","Salt marsh",19.79373333,-87.57438333,"direct from dataset",1,"Mexico",2011,NA,0,0.15,"combined LOI EA","Core-level",14.56,0.1,NA,NA,NA,NA,NA,"Adame et al 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.56,NA,0.1,"https://doi.org/10.1371/journal.pone.0056569",7.5,"0-15cm",NA,"Observed",14.56,NA,"19.79373333_-87.57438333"
"Adame et al 2013","MFA Tul1S4","Sian kaan Tular 1","Tul1S4","Salt marsh",19.79381667,-87.57441667,"direct from dataset",1,"Mexico",2011,NA,0,0.15,"combined LOI EA","Core-level",22.3,0.14,NA,NA,NA,NA,NA,"Adame et al 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,NA,0.14,"https://doi.org/10.1371/journal.pone.0056569",7.5,"0-15cm",NA,"Observed",22.3,NA,"19.79381667_-87.57441667"
"Adame et al 2013","MFA Tul1S5","Sian kaan Tular 1","Tul1S5","Salt marsh",19.79391667,-87.57445,"direct from dataset",1,"Mexico",2011,NA,0,0.15,"combined LOI EA","Core-level",27.77,0.12,NA,NA,NA,NA,NA,"Adame et al 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.77,NA,0.12,"https://doi.org/10.1371/journal.pone.0056569",7.5,"0-15cm",NA,"Observed",27.77,NA,"19.79391667_-87.57445"
"Adame et al 2013","MFA Tul1S6","Sian kaan Tular 1","Tul1S6","Salt marsh",19.794,-87.5745,"direct from dataset",1,"Mexico",2011,NA,0,0.15,"combined LOI EA","Core-level",12.78,0.32,NA,NA,NA,NA,NA,"Adame et al 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.78,NA,0.32,"https://doi.org/10.1371/journal.pone.0056569",7.5,"0-15cm",NA,"Observed",12.78,NA,"19.794_-87.5745"
"Adame et al 2015","MFA Encrucijada 1","La Encrucijada","Encrucijada 1","Salt marsh",15.03188056,-92.70791111,"direct from dataset and estimated",1,"Mexico",2012,NA,0,0.15,"EA","Core-level",0.78,0.77,NA,NA,NA,NA,NA,"Adame et al 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,0.77,"https://doi.org/10.5194/bg-12-3805-2015",7.5,"0-15cm",NA,"Observed",0.78,NA,"15.03188056_-92.70791111"
"Adame et al 2015","MFA Encrucijada 2","La Encrucijada","Encrucijada 2","Salt marsh",15.0323186,-92.70890655,"direct from dataset and estimated",1,"Mexico",2012,NA,0,0.15,"EA","Core-level",9.17,0.3,NA,NA,NA,NA,NA,"Adame et al 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.17,NA,0.3,"https://doi.org/10.5194/bg-12-3805-2015",7.5,"0-15cm",NA,"Observed",9.17,NA,"15.0323186_-92.70890655"
"Adame et al 2015","MFA Encrucijada 3","La Encrucijada","Encrucijada 3","Salt marsh",15.03238417,-92.70855934,"direct from dataset and estimated",1,"Mexico",2012,NA,0,0.15,"EA","Core-level",14.56,0.1,NA,NA,NA,NA,NA,"Adame et al 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.56,NA,0.1,"https://doi.org/10.5194/bg-12-3805-2015",7.5,"0-15cm",NA,"Observed",14.56,NA,"15.03238417_-92.70855934"
"Adame et al 2015","MFA Encrucijada 4","La Encrucijada","Encrucijada 4","Salt marsh",15.03238417,-92.70855934,"direct from dataset and estimated",1,"Mexico",2012,NA,0,0.15,"EA","Core-level",22.3,0.14,NA,NA,NA,NA,NA,"Adame et al 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,NA,0.14,"https://doi.org/10.5194/bg-12-3805-2015",7.5,"0-15cm",NA,"Observed",22.3,NA,"15.03238417_-92.70855934"
"Adame et al 2015","MFA Encrucijada 5","La Encrucijada","Encrucijada 5","Salt marsh",15.03238417,-92.70855934,"direct from dataset and estimated",1,"Mexico",2012,NA,0,0.15,"EA","Core-level",27.77,0.12,NA,NA,NA,NA,NA,"Adame et al 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.77,NA,0.12,"https://doi.org/10.5194/bg-12-3805-2015",7.5,"0-15cm",NA,"Observed",27.77,NA,"15.03238417_-92.70855934"
"Adame et al 2015","MFA Encrucijada 6","La Encrucijada","Encrucijada 6","Salt marsh",15.03263889,-92.70883056,"direct from dataset and estimated",1,"Mexico",2012,NA,0,0.15,"EA","Core-level",12.78,0.32,NA,NA,NA,NA,NA,"Adame et al 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.78,NA,0.32,"https://doi.org/10.5194/bg-12-3805-2015",7.5,"0-15cm",NA,"Observed",12.78,NA,"15.03263889_-92.70883056"
"Adame et al 2020","MFA IC Plot 1","Insulator Creek","Plot 1","Salt marsh",-18.8952599104916,146.26099029562,"direct from dataset and estimated",1,"Australia",2016,NA,0,0.1,"EA","Core-level",1,1.23,NA,NA,NA,NA,NA,"Adame et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1.23,"https://doi.org/10.1007/s10021-019-00414-5",5,"0-15cm",NA,"Observed",1,NA,"-18.8952599104916_146.26099029562"
"Adame et al 2020","MFA IC Plot 2","Insulator Creek","Plot 2","Salt marsh",-18.8951126708873,146.260891898981,"direct from dataset and estimated",1,"Australia",2016,NA,0,0.15,"EA","Core-level",1.2,0.71,NA,NA,NA,NA,NA,"Adame et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,0.71,"https://doi.org/10.1007/s10021-019-00414-5",7.5,"0-15cm",NA,"Observed",1.2,NA,"-18.8951126708873_146.260891898981"
"Adame et al 2020","MFA IC Plot 3","Insulator Creek","Plot 3","Salt marsh",-18.8949543496924,146.26078599736,"direct from dataset and estimated",1,"Australia",2016,NA,0,0.15,"EA","Core-level",1.6,1.2,NA,NA,NA,NA,NA,"Adame et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,1.2,"https://doi.org/10.1007/s10021-019-00414-5",7.5,"0-15cm",NA,"Observed",1.6,NA,"-18.8949543496924_146.26078599736"
"Adame et al 2020","MFA IC Plot 4","Insulator Creek","Plot 4","Salt marsh",-18.8947947982654,146.260679754221,"direct from dataset and estimated",1,"Australia",2016,NA,0,0.15,"EA","Core-level",1.2,1.31,NA,NA,NA,NA,NA,"Adame et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,1.31,"https://doi.org/10.1007/s10021-019-00414-5",7.5,"0-15cm",NA,"Observed",1.2,NA,"-18.8947947982654_146.260679754221"
"Adame et al 2020","MFA IC Plot 5","Insulator Creek","Plot 5","Salt marsh",-18.8945943468993,146.260541666667,"direct from dataset and estimated",1,"Australia",2016,NA,0,0.15,"EA","Core-level",4.6,0.57,NA,NA,NA,NA,NA,"Adame et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,0.57,"https://doi.org/10.1007/s10021-019-00414-5",7.5,"0-15cm",NA,"Observed",4.6,NA,"-18.8945943468993_146.260541666667"
"Adame et al 2021","MFA Arco 10m","Arco","Arco 10m","Salt marsh",30.4578789257437,-116.025855087149,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",15.56,0.52,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.56,NA,0.52,"https://doi.org/10.1016/j.ecss.2020.106796",7.5,"0-15cm",NA,"Observed",15.56,NA,"30.4578789257437_-116.025855087149"
"Adame et al 2021","MFA Arco 30m","Arco","Arco 30m","Salt marsh",30.4577021252893,-116.025837227569,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",14.5,0.52,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA,0.52,"https://doi.org/10.1016/j.ecss.2020.106796",7.5,"0-15cm",NA,"Observed",14.5,NA,"30.4577021252893_-116.025837227569"
"Adame et al 2021","MFA Arco 50m","Arco","Arco 50m","Salt marsh",30.4575242986184,-116.025812689808,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",6.55,0.35,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.55,NA,0.35,"https://doi.org/10.1016/j.ecss.2020.106796",7.5,"0-15cm",NA,"Observed",6.55,NA,"30.4575242986184_-116.025812689808"
"Adame et al 2021","MFA Arco 70m","Arco","Arco 70m","Salt marsh",30.4573420866107,-116.025789898268,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",3.24,0.5,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.24,NA,0.5,"https://doi.org/10.1016/j.ecss.2020.106796",7.5,"0-15cm",NA,"Observed",3.24,NA,"30.4573420866107_-116.025789898268"
"Adame et al 2021","MFA Arco 90m","Arco","Arco 90m","Salt marsh",30.4571622874464,-116.025769382576,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",4.01,0.79,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01,NA,0.79,"https://doi.org/10.1016/j.ecss.2020.106796",7.5,"0-15cm",NA,"Observed",4.01,NA,"30.4571622874464_-116.025769382576"
"Adame et al 2021","MFA Chapala 10m","Chapala","Chapala 10m","Salt marsh",30.5133740346101,-115.982799611524,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",10.26,0.29,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.26,NA,0.29,"https://doi.org/10.1016/j.ecss.2020.106796",7.5,"0-15cm",NA,"Observed",10.26,NA,"30.5133740346101_-115.982799611524"
"Adame et al 2021","MFA Chapala 30m","Chapala","Chapala 30m","Salt marsh",30.5134371431058,-115.982996190987,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",8.69,0.35,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.69,NA,0.35,"https://doi.org/10.1016/j.ecss.2020.106796",7.5,"0-15cm",NA,"Observed",8.69,NA,"30.5134371431058_-115.982996190987"
"Adame et al 2021","MFA Chapala 50m","Chapala","Chapala 50m","Salt marsh",30.5135044541256,-115.983188326967,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",8.48,0.36,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.48,NA,0.36,"https://doi.org/10.1016/j.ecss.2020.106796",7.5,"0-15cm",NA,"Observed",8.48,NA,"30.5135044541256_-115.983188326967"
"Adame et al 2021","MFA Chapala 70m","Chapala","Chapala 70m","Salt marsh",30.5135684380306,-115.983386083945,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",11.95,0.26,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.95,NA,0.26,"https://doi.org/10.1016/j.ecss.2020.106796",7.5,"0-15cm",NA,"Observed",11.95,NA,"30.5135684380306_-115.983386083945"
"Adame et al 2021","MFA Chapala 90m","Chapala","Chapala 90m","Salt marsh",30.513634712485,-115.983579700134,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",15.33,0.23,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.33,NA,0.23,"https://doi.org/10.1016/j.ecss.2020.106796",7.5,"0-15cm",NA,"Observed",15.33,NA,"30.513634712485_-115.983579700134"
"Adame et al 2021","MFA Kenton 10m","Kenton","Kenton 10m","Salt marsh",30.4653149710291,-115.98006346212,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",6.43,0.52,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.43,NA,0.52,"https://doi.org/10.1016/j.ecss.2020.106796",7.5,"0-15cm",NA,"Observed",6.43,NA,"30.4653149710291_-115.98006346212"
