system:index,Admin_unit,BD_reported_combined,BD_reported_g_cm3,BD_reported_g_cm3_mean,BD_reported_g_cm3_sd,BD_reported_g_cm3_se,Conv_factor,Core,Country,Data_type,Depth_to_bedrock_m,ECU,Habitat_type,Horizon_bin_cm,Horizon_mid_depth_cm,Human_modification,L_depth_m,Lat_Long,M2Tide,Method,N_perc,Notes,OC_from_SOM_our_eq,OC_obs_est,OC_perc,OC_perc_combined,OC_perc_final,OC_perc_mean,OC_perc_sd,OC_perc_se,Original_source,PETdry,PETwarm,Plot,SLR_zone,SOM_perc,SOM_perc_Heiri,SOM_perc_combined,SOM_perc_mean,SOM_perc_sd,Site,Site_name,Soil_type,Source,TSM,Time_replicate,Treatment,U_depth_m,Year_collected,Year_collected_end,accuracy_code,accuracy_flag,copernicus_elevation,copernicus_slope,maxTemp,minPrecip,minTemp,n_cores,ndvi_med,ndvi_stdev,popDens,.geo
0000000000000000002f,NA,0.466960113,0.466960113,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.5933936238288879,0.3,51.797117_0.921222,153.7111053466797,EA,0.447,NA,3.57949148678471,Observed,4.387,4.387,4.387,NA,NA,NA,Burden et al 2018,39.0,107.0,13.1,1.0,8.601206462,NA,8.601206462,NA,NA,Barrow Hill Natural,AB 13.1,NA,Burden et al 2018,20.95355224609375,NA,NA,0.0,2011,NA,1,direct from dataset,0.9281231164932251,1.1787118911743164,213.0,31.0,6.0,NA,0.1386299729347229,0.028790004551410675,0.23410192131996155,"{""type"":""Point"",""coordinates"":[0.9212235230355977,51.79711849637473]}"
00000000000000000030,NA,0.487180766,0.487180766,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.5933936238288879,0.3,51.797117_0.921222,153.7111053466797,EA,0.44,NA,3.58087151948545,Observed,4.5669,4.5669,4.5669,NA,NA,NA,Burden et al 2018,39.0,107.0,13.2,1.0,8.604476399,NA,8.604476399,NA,NA,Barrow Hill Natural,AB 13.2,NA,Burden et al 2018,20.95355224609375,NA,NA,0.0,2011,NA,1,direct from dataset,0.9281231164932251,1.1787118911743164,213.0,31.0,6.0,NA,0.1386299729347229,0.028790004551410675,0.23410192131996155,"{""type"":""Point"",""coordinates"":[0.9212235230355977,51.79711849637473]}"
00000000000000000031,NA,0.31116586,0.31116586,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.5933936238288879,0.3,51.797117_0.921222,153.7111053466797,EA,0.586,NA,5.41567459686561,Observed,7.372,7.372,7.372,NA,NA,NA,Burden et al 2018,39.0,107.0,13.3,1.0,12.92179754,NA,12.92179754,NA,NA,Barrow Hill Natural,AB 13.3,NA,Burden et al 2018,20.95355224609375,NA,NA,0.0,2011,NA,1,direct from dataset,0.9281231164932251,1.1787118911743164,213.0,31.0,6.0,NA,0.1386299729347229,0.028790004551410675,0.23410192131996155,"{""type"":""Point"",""coordinates"":[0.9212235230355977,51.79711849637473]}"
00000000000000000032,NA,0.480110744,0.480110744,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.5933936238288879,0.3,51.797117_0.921222,153.7111053466797,EA,0.445,NA,3.68890832638226,Observed,4.7395,4.7395,4.7395,NA,NA,NA,Burden et al 2018,39.0,107.0,13.4,1.0,8.86035838,NA,8.86035838,NA,NA,Barrow Hill Natural,AB 13.4,NA,Burden et al 2018,20.95355224609375,NA,NA,0.0,2011,NA,1,direct from dataset,0.9281231164932251,1.1787118911743164,213.0,31.0,6.0,NA,0.1386299729347229,0.028790004551410675,0.23410192131996155,"{""type"":""Point"",""coordinates"":[0.9212235230355977,51.79711849637473]}"
00000000000000000033,NA,0.451740467,0.451740467,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6213962435722351,0.3,51.629647_0.645383,165.2116241455078,EA,0.388,NA,3.17235334837323,Observed,3.6804,3.6804,3.6804,NA,NA,NA,Burden et al 2018,40.0,110.0,17.1,1.0,7.634992086,NA,7.634992086,NA,NA,Brandy Hole Natural,AB 17.1,NA,Burden et al 2018,16.508682250976562,NA,NA,0.0,2011,NA,1,direct from dataset,0.9812193512916565,0.49574774503707886,216.0,32.0,7.0,NA,0.12713760137557983,0.05714750289916992,0.12920954823493958,"{""type"":""Point"",""coordinates"":[0.6453835318694358,51.62964803811046]}"
00000000000000000034,NA,0.429901738,0.429901738,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6213962435722351,0.3,51.629647_0.645383,165.2116241455078,EA,0.482,NA,3.83687565097539,Observed,4.8095,4.8095,4.8095,NA,NA,NA,Burden et al 2018,40.0,110.0,17.2,1.0,9.210471509,NA,9.210471509,NA,NA,Brandy Hole Natural,AB 17.2,NA,Burden et al 2018,16.508682250976562,NA,NA,0.0,2011,NA,1,direct from dataset,0.9812193512916565,0.49574774503707886,216.0,32.0,7.0,NA,0.12713760137557983,0.05714750289916992,0.12920954823493958,"{""type"":""Point"",""coordinates"":[0.6453835318694358,51.62964803811046]}"
00000000000000000035,NA,0.286471182,0.286471182,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6213962435722351,0.3,51.629647_0.645383,165.2116241455078,EA,0.566,NA,4.62148402526645,Observed,5.8689,5.8689,5.8689,NA,NA,NA,Burden et al 2018,40.0,110.0,17.3,1.0,11.06039876,NA,11.06039876,NA,NA,Brandy Hole Natural,AB 17.3,NA,Burden et al 2018,16.508682250976562,NA,NA,0.0,2011,NA,1,direct from dataset,0.9812193512916565,0.49574774503707886,216.0,32.0,7.0,NA,0.12713760137557983,0.05714750289916992,0.12920954823493958,"{""type"":""Point"",""coordinates"":[0.6453835318694358,51.62964803811046]}"
00000000000000000036,NA,0.367978034,0.367978034,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6213962435722351,0.3,51.629647_0.645383,165.2116241455078,EA,0.55,NA,4.20315150997812,Observed,5.4284,5.4284,5.4284,NA,NA,NA,Burden et al 2018,40.0,110.0,17.4,1.0,10.07543779,NA,10.07543779,NA,NA,Brandy Hole Natural,AB 17.4,NA,Burden et al 2018,16.508682250976562,NA,NA,0.0,2011,NA,1,direct from dataset,0.9812193512916565,0.49574774503707886,216.0,32.0,7.0,NA,0.12713760137557983,0.05714750289916992,0.12920954823493958,"{""type"":""Point"",""coordinates"":[0.6453835318694358,51.62964803811046]}"
00000000000000000037,NA,0.446778365,0.446778365,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6549583077430725,0.3,51.852865_0.960211,153.41212463378906,EA,0.437,NA,3.14319021684269,Observed,4.3929,4.3929,4.3929,NA,NA,NA,Burden et al 2018,38.0,106.0,14.1,1.0,7.565666237,NA,7.565666237,NA,NA,Ferry Lane (B) Natural,AB 14.1,NA,Burden et al 2018,25.9180908203125,NA,NA,0.0,2011,NA,1,direct from dataset,2.3108747005462646,3.025094509124756,212.0,32.0,6.0,NA,0.2128625512123108,0.040051959455013275,0.23409998416900635,"{""type"":""Point"",""coordinates"":[0.9602094435458749,51.85286617774491]}"
00000000000000000039,NA,0.401484599,0.401484599,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6549583077430725,0.3,51.852865_0.960211,153.41212463378906,EA,0.417,NA,3.41472431525151,Observed,4.9349,4.9349,4.9349,NA,NA,NA,Burden et al 2018,38.0,106.0,14.3,1.0,8.210547709,NA,8.210547709,NA,NA,Ferry Lane (B) Natural,AB 14.3,NA,Burden et al 2018,25.9180908203125,NA,NA,0.0,2011,NA,1,direct from dataset,2.3108747005462646,3.025094509124756,212.0,32.0,6.0,NA,0.2128625512123108,0.040051959455013275,0.23409998416900635,"{""type"":""Point"",""coordinates"":[0.9602094435458749,51.85286617774491]}"
0000000000000000003a,NA,0.462432151,0.462432151,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6549583077430725,0.3,51.852865_0.960211,153.41212463378906,EA,0.412,NA,3.3815423685133,Observed,4.5911,4.5911,4.5911,NA,NA,NA,Burden et al 2018,38.0,106.0,14.4,1.0,8.131814334,NA,8.131814334,NA,NA,Ferry Lane (B) Natural,AB 14.4,NA,Burden et al 2018,25.9180908203125,NA,NA,0.0,2011,NA,1,direct from dataset,2.3108747005462646,3.025094509124756,212.0,32.0,6.0,NA,0.2128625512123108,0.040051959455013275,0.23409998416900635,"{""type"":""Point"",""coordinates"":[0.9602094435458749,51.85286617774491]}"
0000000000000000003b,NA,0.62552278,0.62552278,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.5357511639595032,0.3,51.639013_0.663894,165.1102294921875,EA,0.313,NA,2.33159879584802,Observed,2.743,2.743,2.743,NA,NA,NA,Burden et al 2018,40.0,110.0,16.1,1.0,5.630073228,NA,5.630073228,NA,NA,North Fambridge Natural,AB 16.1,NA,Burden et al 2018,14.547154426574707,NA,NA,0.0,2011,NA,1,direct from dataset,2.0108492374420166,2.6736912727355957,216.0,32.0,6.0,NA,0.21268391609191895,0.03942599892616272,0.08031487464904785,"{""type"":""Point"",""coordinates"":[0.6638932603422897,51.6390121503227]}"
0000000000000000003c,NA,0.496808764,0.496808764,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.5357511639595032,0.3,51.639013_0.663894,165.1102294921875,EA,0.365,NA,2.72714383358514,Observed,3.2076,3.2076,3.2076,NA,NA,NA,Burden et al 2018,40.0,110.0,16.2,1.0,6.57494687,NA,6.57494687,NA,NA,North Fambridge Natural,AB 16.2,NA,Burden et al 2018,14.547154426574707,NA,NA,0.0,2011,NA,1,direct from dataset,2.0108492374420166,2.6736912727355957,216.0,32.0,6.0,NA,0.21268391609191895,0.03942599892616272,0.08031487464904785,"{""type"":""Point"",""coordinates"":[0.6638932603422897,51.6390121503227]}"
0000000000000000003d,NA,0.659381255,0.659381255,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.5357511639595032,0.3,51.639013_0.663894,165.1102294921875,EA,0.373,NA,2.79617055434095,Observed,3.1269,3.1269,3.1269,NA,NA,NA,Burden et al 2018,40.0,110.0,16.3,1.0,6.739539305,NA,6.739539305,NA,NA,North Fambridge Natural,AB 16.3,NA,Burden et al 2018,14.547154426574707,NA,NA,0.0,2011,NA,1,direct from dataset,2.0108492374420166,2.6736912727355957,216.0,32.0,6.0,NA,0.21268391609191895,0.03942599892616272,0.08031487464904785,"{""type"":""Point"",""coordinates"":[0.6638932603422897,51.6390121503227]}"
