system:index,Admin_unit,BD_reported_combined,BD_reported_g_cm3,BD_reported_g_cm3_mean,BD_reported_g_cm3_sd,BD_reported_g_cm3_se,Conv_factor,Core,Country,DOI,Data_type,Depth_to_bedrock_m,ECU,Habitat_type,Horizon_bin_cm,Horizon_mid_depth_cm,Human_modification,L_depth_m,Lat_Long,M2Tide,Method,N_perc,Notes,OC_from_SOM_our_eq,OC_obs_est,OC_perc,OC_perc_combined,OC_perc_final,OC_perc_mean,OC_perc_sd,OC_perc_se,Original_source,PETdry,PETwarm,Plot,SLR_zone,SOM_perc,SOM_perc_Heiri,SOM_perc_combined,SOM_perc_mean,SOM_perc_sd,Site,Site_name,Soil_type,Source,TSM,Time_replicate,Treatment,U_depth_m,Year_collected,Year_collected_end,accuracy_code,accuracy_flag,copernicus_elevation,copernicus_slope,maxPrecip,maxTemp,minPrecip,minTemp,n_cores,ndvi_med,ndvi_stdev,popDens,.geo
0000000000000000002c,NA,0.466960113,0.466960113,NA,NA,NA,NA,NA,UK,https://doi.org/10.5285/0b1faab4-3539-457f-9169-b0b1fbd59bc2,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.5594251155853271,0.3,51.797117_0.921222,153.78781127929688,EA,0.447,NA,3.5794914643804,Observed,4.387,4.387,4.387,NA,NA,NA,Burden et al 2018,39.0,107.0,13.1,1.0,8.601206462,NA,8.601206462,NA,NA,Barrow Hill Natural,AB 13.1,NA,Burden et al 2018,24.984567642211914,NA,NA,0.0,2011,NA,1,direct from dataset,0.9281231164932251,1.1787118911743164,54.0,213.0,31.0,6.0,NA,0.1386299729347229,0.028790004551410675,0.23410189151763916,"{""type"":""Point"",""coordinates"":[0.9212235230355977,51.79711849637473]}"
0000000000000000002d,NA,0.451740467,0.451740467,NA,NA,NA,NA,NA,UK,https://doi.org/10.5285/0b1faab4-3539-457f-9169-b0b1fbd59bc2,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6229285597801208,0.3,51.629647_0.645383,165.21104431152344,EA,0.388,NA,3.17235332810578,Observed,3.6804,3.6804,3.6804,NA,NA,NA,Burden et al 2018,40.0,110.0,17.1,1.0,7.634992086,NA,7.634992086,NA,NA,Brandy Hole Natural,AB 17.1,NA,Burden et al 2018,14.588239669799805,NA,NA,0.0,2011,NA,1,direct from dataset,0.9812193512916565,0.49574774503707886,55.0,216.0,32.0,7.0,NA,0.12713760137557983,0.05714750289916992,0.12765900790691376,"{""type"":""Point"",""coordinates"":[0.6453835318694358,51.62964803811046]}"
0000000000000000002e,NA,0.446778365,0.446778365,NA,NA,NA,NA,NA,UK,https://doi.org/10.5285/0b1faab4-3539-457f-9169-b0b1fbd59bc2,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6566092371940613,0.3,51.852865_0.960211,153.27557373046875,EA,0.437,NA,3.14319019673226,Observed,4.3929,4.3929,4.3929,NA,NA,NA,Burden et al 2018,38.0,106.0,14.1,1.0,7.565666237,NA,7.565666237,NA,NA,Ferry Lane (B) Natural,AB 14.1,NA,Burden et al 2018,26.728967666625977,NA,NA,0.0,2011,NA,1,direct from dataset,2.3108747005462646,3.025094509124756,54.0,212.0,32.0,6.0,NA,0.2128625512123108,0.040051959455013275,0.23409798741340637,"{""type"":""Point"",""coordinates"":[0.9602094435458749,51.85286617774491]}"
0000000000000000002f,NA,0.62552278,0.62552278,NA,NA,NA,NA,NA,UK,https://doi.org/10.5285/0b1faab4-3539-457f-9169-b0b1fbd59bc2,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.5475192070007324,0.3,51.639013_0.663894,165.21104431152344,EA,0.313,NA,2.33159878032138,Observed,2.743,2.743,2.743,NA,NA,NA,Burden et al 2018,40.0,110.0,16.1,1.0,5.630073228,NA,5.630073228,NA,NA,North Fambridge Natural,AB 16.1,NA,Burden et al 2018,14.588239669799805,NA,NA,0.0,2011,NA,1,direct from dataset,2.0108492374420166,2.6736912727355957,55.0,216.0,32.0,6.0,NA,0.21268391609191895,0.03942599892616272,0.08146457374095917,"{""type"":""Point"",""coordinates"":[0.6638932603422897,51.6390121503227]}"
00000000000000000030,NA,0.396175008,0.396175008,NA,NA,NA,NA,NA,UK,https://doi.org/10.5285/0b1faab4-3539-457f-9169-b0b1fbd59bc2,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6290174722671509,0.3,51.719498_0.709383,162.27464294433594,EA,0.574,NA,4.66708038960504,Observed,6.1241,6.1241,6.1241,NA,NA,NA,Burden et al 2018,39.0,109.0,12.1,1.0,11.16756699,NA,11.16756699,NA,NA,Northey Natural,AB 12.1,NA,Burden et al 2018,5.4607086181640625,NA,NA,0.0,2011,NA,1,direct from dataset,1.6336852312088013,0.29534149169921875,54.0,214.0,31.0,5.0,NA,0.1652371734380722,0.03837684914469719,0.07580655813217163,"{""type"":""Point"",""coordinates"":[0.7093850092895444,51.719498924337394]}"
00000000000000000031,NA,0.362812567,0.362812567,NA,NA,NA,NA,NA,UK,https://doi.org/10.5285/0b1faab4-3539-457f-9169-b0b1fbd59bc2,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.638763427734375,0.3,51.718446_0.859936,156.24440002441406,EA,0.597,NA,5.15825868692924,Observed,6.6781,6.6781,6.6781,NA,NA,NA,Burden et al 2018,39.0,108.0,11.1,1.0,12.3196877,NA,12.3196877,NA,NA,Orplands Natural,AB 11.1,NA,Burden et al 2018,11.940793991088867,NA,NA,0.0,2011,NA,1,direct from dataset,0.8459406495094299,2.422266960144043,54.0,215.0,31.0,7.0,NA,0.03893036022782326,0.07683543115854263,0.07580658793449402,"{""type"":""Point"",""coordinates"":[0.8599376381570377,51.71844657648878]}"
00000000000000000032,NA,0.289320058,0.289320058,NA,NA,NA,NA,NA,UK,https://doi.org/10.5285/0b1faab4-3539-457f-9169-b0b1fbd59bc2,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6045289039611816,0.3,51.769154_0.836512,154.38206481933594,EA,0.751,NA,7.84881124886127,Observed,10.026,10.026,10.026,NA,NA,NA,Burden et al 2018,39.0,108.0,10.1,1.0,18.55690542,NA,18.55690542,NA,NA,Tollesbury Natural,AB 10.1,NA,Burden et al 2018,9.222779273986816,NA,NA,0.0,2011,NA,1,direct from dataset,1.5582149028778076,1.646141529083252,54.0,214.0,31.0,5.0,NA,0.20269551873207092,0.042733609676361084,0.07580647617578506,"{""type"":""Point"",""coordinates"":[0.8365139803232864,51.76915547366857]}"
00000000000000000033,NA,0.654973543,0.654973543,NA,NA,NA,NA,NA,UK,https://doi.org/10.5285/0b1faab4-3539-457f-9169-b0b1fbd59bc2,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6962146759033203,0.3,51.621201_0.81135,160.92123413085938,EA,0.357,NA,2.18446101943578,Observed,3.6054,3.6054,3.6054,NA,NA,NA,Burden et al 2018,39.0,108.0,15.1,1.0,5.277846997,NA,5.277846997,NA,NA,Wallasea Island Natural,AB 15.1,NA,Burden et al 2018,15.26176929473877,NA,NA,0.0,2011,NA,1,direct from dataset,1.0525151491165161,2.3648691177368164,55.0,216.0,31.0,8.0,NA,0.167634978890419,0.03432651236653328,0.1258901208639145,"{""type"":""Point"",""coordinates"":[0.8113512730786914,51.621202500715235]}"
000000000000000008af,NA,NA,NA,NA,NA,NA,NA,SQM1,Mexico,https://doi.org/10.1016/j.scitotenv.2019.03.388,Core-level,NA,6.0,Salt marsh,0-15cm,0.5,0.06606368720531464,0.01,30.45444_-116.0242,47.86153793334961,EA,1.08,NA,11.421814007286,Observed,9.099574,9.099574,9.099574,NA,NA,NA,Cuellar-Martinez et al 2019,171.0,174.0,NA,3.0,26.65603,NA,26.65603,NA,NA,Ensenada,TCM SQM1,NA,Cuellar-Martinez et al 2019,2.836726188659668,NA,NA,0.0,2018,NA,1,direct from dataset,0.8023707866668701,0.9289159774780273,36.0,324.0,0.0,66.0,NA,0.10620538890361786,0.04210423305630684,0.6246254444122314,"{""type"":""Point"",""coordinates"":[-116.02419967518148,30.4544384013467]}"
000000000000000008b0,NA,NA,NA,NA,NA,NA,NA,SQM2,Mexico,https://doi.org/10.1016/j.scitotenv.2019.03.388,Core-level,NA,6.0,Salt marsh,0-15cm,0.5,0.11656149476766586,0.01,30.43611_-116.0161,47.86153793334961,EA,1.85,NA,19.1107761111021,Observed,16.61622,16.61622,16.61622,NA,NA,NA,Cuellar-Martinez et al 2019,171.0,175.0,NA,3.0,43.43874,NA,43.43874,NA,NA,Ensenada,TCM SQM2,NA,Cuellar-Martinez et al 2019,2.836726188659668,NA,NA,0.0,2018,NA,1,direct from dataset,0.9250171184539795,0.33180853724479675,35.0,324.0,0.0,67.0,NA,0.14602181315422058,0.05373784527182579,0.6246256828308105,"{""type"":""Point"",""coordinates"":[-116.01609748856737,30.436111496017045]}"
