system:index,saltmarsh,.geo
0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.3273264753748,51.46012579807941]}"
1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.82075237577027,25.39164507362978]}"
2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.79144608020732,18.520611128456384]}"
3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[151.88889995373273,-24.19616709352352]}"
4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.86196801624857,45.73983373186312]}"
5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.21457837061011,53.663513526967776]}"
6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.04802361052327,58.447042414904224]}"
7,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.45325616731883,30.369210062936048]}"
8,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.83880685887245,-38.95638552689138]}"
9,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.7491612219078,53.16414006052573]}"
10,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.27270851805635,30.075999954199435]}"
11,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[140.37959470206502,49.30928951331204]}"
12,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-161.90870863280188,59.77888465513983]}"
13,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.39315887481122,31.417813494088765]}"
14,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.66831284633703,53.14985684750823]}"
15,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.39276752872462,40.47741296596255]}"
16,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9919412911031,-31.05183984733847]}"
17,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.335849279857634,-38.96824328864176]}"
18,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.619153394951056,45.61559672806939]}"
19,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.97996547604521,44.67667759310767]}"
20,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.1776301667417,36.823335884749575]}"
21,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.14792376457245,52.50414782128312]}"
22,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.71952343396632,55.513324360026694]}"
23,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.80948849457258,29.75880482737683]}"
24,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[32.67231078836168,46.63213030357904]}"
25,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.47631085014773,10.601782235885976]}"
26,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.73880023027607,59.01594548433712]}"
27,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.86232150201575,35.61034075660299]}"
28,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[153.0582369590711,-25.205154820646566]}"
29,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.56949232473741,-34.08877432836134]}"
30,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.90693409755491,-19.499954451203486]}"
31,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.94778203944385,31.46955645445405]}"
32,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.5176653731902,30.510694720184873]}"
33,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.91170762534168,29.26536024180998]}"
34,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.25874803689769,38.39044689789608]}"
35,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[162.40916007758486,58.70252328170782]}"
36,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.89690956062758,-36.38783263500843]}"
37,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.22967006738332,54.85009818576125]}"
38,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.393049092046795,-37.57845971258045]}"
39,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.7128118609179,-7.949416527994677]}"
40,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.35363757659182,54.136207029471464]}"
41,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.06545345916443,22.207566549068133]}"
42,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.64994770011295,29.596838581650083]}"
43,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.18470233196837,-31.49165501044339]}"
44,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.64573019255944,29.922657535200234]}"
45,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.00268701238696,58.48584963517819]}"
46,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.947871482928264,44.731654488495785]}"
47,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[139.88695860025388,-36.87373137218868]}"
48,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-79.62958630902779,51.30031550903455]}"
49,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[32.32735771925978,46.476362433312715]}"
50,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-79.42477042424854,33.04421331598716]}"
51,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.4444572518163,54.30437165065864]}"
52,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.14097890314962,35.00263046689613]}"
53,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-158.1433302878865,58.988726531228295]}"
54,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-158.51361584800057,56.726858477343754]}"
55,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.48021934868797,30.030994358465048]}"
56,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.96094445147513,29.871184069420185]}"
57,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.07192629153593,52.418448543178116]}"
58,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.27525582082485,29.311443815885312]}"
59,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.636117830975365,-19.691834595891414]}"
60,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-65.94680722743287,43.81402542576769]}"
61,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.73970146573343,35.80491584714327]}"
62,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.97792261034499,29.84558208382278]}"
63,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.96520147345669,32.10960609438921]}"
64,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[30.208052300965004,31.265279558845272]}"
65,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.17891564187457,53.316135006598756]}"
66,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.63025591021933,45.42183012128481]}"
67,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[126.77389107184757,35.86231819379851]}"
68,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.09475264831627,59.33691353535303]}"
69,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.82755670052032,38.200453215304805]}"
70,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.84335040650203,29.538358256653904]}"
71,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[154.0313819063578,59.540920936376565]}"
72,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[126.68738330998686,35.83995014322394]}"
73,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.80687257757631,42.922806832392716]}"
74,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-52.091282116701784,-31.541242014126787]}"
75,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.49679243862566,39.40401603296814]}"
76,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[157.52268425808833,51.5164501663937]}"
77,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.649563460437431,40.68195935615657]}"
78,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.66786826297682,28.79967359852242]}"
79,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.97032187057617,53.115361540598045]}"
80,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.20945631938202,56.61825215949371]}"
81,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.02366476739008,45.81960412909294]}"
82,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.16499136692671,53.4201599164998]}"
83,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.85572681814286,54.00684962855826]}"
84,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.72099986480495,29.855553383476504]}"
85,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[132.68956671235986,-12.188027364584228]}"
86,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.922779386701606,-17.704851018947444]}"
87,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[155.85693822674548,54.16585143384741]}"
88,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.45112765632804,56.009733386031144]}"
89,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.2911148328171,53.999573274756884]}"
90,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.41575690554299,29.594143635797725]}"
91,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.48232206809625,57.36771660103462]}"
92,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.1918875881767,29.5879452603373]}"
93,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.20039287162011,49.18208806908071]}"
94,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.23138640303085,59.39943627912774]}"
95,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.35052549307036,29.376122516341916]}"
96,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.32901916352509,31.379006273814802]}"
97,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.94427530161855,22.39513478039229]}"
98,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.30782349710172,52.96390558369549]}"
99,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.75523443764961,-19.913628639540523]}"
100,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[133.68454072105064,42.88453860128922]}"
101,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.79683431780343,37.73557505577295]}"
102,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-3.837198651880742,51.61912760336857]}"
103,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[23.98003243616436,58.15032887655955]}"
104,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.51164208650474,51.49516009416007]}"
105,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[158.40689599224717,53.04232850799912]}"
106,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.66714046218583,25.359575217986713]}"
107,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[156.47596728903224,52.25378735159901]}"
108,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.57008289707288,18.42763549655001]}"
109,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[162.159069102486,58.45997815499555]}"
110,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-157.4030286622436,57.42700540978651]}"
111,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.51546990208026,18.39394867339553]}"
112,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.75165032507684,-17.913709322505234]}"
113,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.96369098049247,59.380302163576]}"
114,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[156.3959273972172,56.87858392883154]}"
115,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.228721046954842,45.198688604709524]}"
116,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.51685688943448,52.30579980654953]}"
117,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.49227964490441,29.81620717403207]}"
118,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[162.47464726179717,56.27114313370992]}"
119,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.19137439058872,35.34596656848661]}"
120,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.31806429134069,52.899765872409354]}"
121,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.38891392156661,37.28902252803714]}"
122,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.20532114890183,31.58840356654306]}"
123,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.98902512561325,55.2082564895397]}"
124,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.54084190752047,30.757551760260917]}"
125,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.26087820199709,30.375947427566945]}"
126,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.90170011947714,52.910276161233554]}"
127,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.1212525611538,15.65507520364352]}"
128,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.15582689692008,-39.63605087085621]}"
129,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.45640941937694,55.188852879402724]}"
130,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.22180148713788,29.339201758164606]}"
131,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.76806701141096,57.23404728675764]}"
132,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.648797799327006,45.54337217922618]}"
133,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.27187093450092,54.31272598280095]}"
134,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.719164985873284,46.333799797722946]}"
135,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.17860167053544,29.8299513978791]}"
136,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.234691096366692,55.39016533457391]}"
137,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[149.57717540157955,-22.408609509654084]}"
138,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.05224822448787,31.952490751196706]}"
139,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.81492120892257,31.613736057555233]}"
140,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.32102873177828,54.93795342054814]}"
141,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.87343939423819,29.186128833750637]}"
142,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.32554317960813,55.941820750551706]}"
143,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.83618052724786,37.338070542550064]}"
144,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.745546355426676,45.554151962635615]}"
145,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.94427530161855,53.08814258748922]}"
146,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.3794146509642,52.05166641267212]}"
147,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.40182387007543,29.41115681242258]}"
148,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.095635198602224,55.928885010460384]}"
149,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[17.765217806040276,43.067255930079135]}"
150,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.356600362920794,-39.153655563284026]}"
151,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.97301681642853,31.985908079765952]}"
152,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.00593467025534,41.870430477046696]}"
153,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.05498433887689,29.30901836461819]}"
154,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.28630509881951,57.21976407374014]}"
155,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.2716305397154,15.481790185336864]}"
156,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.38391537594849,14.327814371356927]}"
157,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-152.87794508154835,57.35262490426141]}"
158,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-2.9810143545864265,53.687498545053764]}"
159,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.75942946183787,56.17358609385454]}"
160,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.31383306094162,32.55319418168743]}"
161,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.03947054210873,-17.643136758928435]}"
162,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.5268007433971,39.51019689955106]}"
163,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.26766880390159,53.148239879996815]}"
164,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.76227039666547,-38.94318029221482]}"
165,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.54181341131422,27.872342730725837]}"
166,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.97431601440695,-37.74392938791526]}"
167,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-158.86153335754005,58.85263176568419]}"
168,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[156.490519996635,52.507651250891186]}"
169,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.89181826330783,55.114472373877625]}"
170,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.05301884792415,-3.392802080826815]}"
171,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-157.13757649578628,58.191022558930165]}"
172,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.17379028242924,31.67949273635278]}"
173,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.62391319989227,34.75496494306438]}"
174,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.39115221532182,29.60168948418433]}"
175,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.06491446999395,53.160906125502905]}"
176,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.132672845955058,54.62372273416313]}"
177,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.43065979069567,20.342664019236008]}"
178,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.84317531772706,29.82159706573679]}"
179,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-152.62408118225616,57.84014060895308]}"
180,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.51891844030611,32.479083170747565]}"
181,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.24018035620752,54.86060847458545]}"
182,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.11235923984101,15.290718524404642]}"
183,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.12021575134952,29.867411145226882]}"
184,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-157.64665176729682,57.436707214855]}"
185,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-79.64440851121576,51.23051641145846]}"
186,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.1152775494161,44.36810629301261]}"
187,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[155.86556205347304,56.35037454176926]}"
188,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.44340671916646,56.57728898253785]}"
189,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.880793122787026,-28.512392370660997]}"
190,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.18229225765542,40.62859942827987]}"
191,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.019150319560225,46.15431640395587]}"
192,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.08408975408236,57.00740234057428]}"
193,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-157.44156638793234,58.341939526662244]}"
194,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.8062940739778,22.330456079935686]}"
195,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.46400850503714,39.44632668285016]}"
196,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[140.3124905503413,49.27344673347567]}"
197,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.20490401123273,56.47461154556299]}"
198,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-163.76876026009975,59.87751967333615]}"
199,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.385705778126265,-40.22274058291467]}"
200,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.110981013006494,45.83253986918426]}"
201,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-37.733149604505826,-12.100980613553045]}"
