"Country","mean_pred0","mean_err0","aoa_prop","mean_pred0_aoa","mean_err0_aoa","Area","Area_lower","Area_upper"
"Albania",80.38,50.14,94.8,79.79,49.87,79.0133552158356,47.8454573106271,89.3282994389665
"Algeria",69.7,51.29,78.5,68.98,50.1,26.9187603047855,16.3002873817905,30.4329195294028
"Angola",71.06,53.22,68.5,69.49,52.75,17.0442321191678,10.3209018022642,19.2693028449339
"Antigua and Barbuda",77.2,51.85,93.4,76.99,51.68,0.376006988937378,0.22768589295516,0.425093514978474
"Argentina",78.84,53.28,43.4,77.46,51.73,2429.47540581479,1471.13562635844,2746.63575464435
"Australia",86.12,47.41,82.8,88.08,45.69,2080.50935246204,1259.82400235591,2352.11328407242
"Bahamas",73.89,51.56,80.7,74.24,51.16,116.288657717422,70.4170072683354,131.469775072347
"Bangladesh",54.59,58.04,9.3,56.8,52.81,202.473914797001,122.605311728288,228.906245534824
"Belgium",71.82,46.41,97.5,71.49,46.2,6.06585344817913,3.67309464855138,6.85773147706094
"Belize",77.53,49.18,81.1,76.67,47.71,64.1709246535688,38.8578263473167,72.5482363971364
"Benin",78.45,52.83,70.9,78.53,52.33,53.9399810088806,32.6626182579727,60.9816753399655
"Bosnia and Herzegovina",97.1,53.75,16.7,95.23,52.96,5.98149285337991,3.62201124339614,6.76235787278241
"Brazil",73.61,52.52,58.3,76.11,49.4,1066.11251621558,645.569862760297,1205.29014144496
"Brunei",86.43,61.77,0,NA,NA,0.338590637825012,0.205028932939021,0.382792577283208
"Bulgaria",96.09,52.15,93.2,95.48,52.01,19.5452872134247,11.8353815306205,22.0968627905006
"Cambodia",79.76,52.62,76.7,80.04,52.14,15.8003365167736,9.56767782157573,17.863020596345
"Canada",94.11,60.56,8.5,104.97,49.03,8534.31634695434,5167.83861839796,9648.44441885965
"Chile",116.86,54.01,39.6,103.14,49.97,458.621619559732,277.71205336662,518.493224965656
"China",57.43,50.88,80.6,57.28,49.97,1167.50933841173,706.969322567654,1319.92399885495
"Colombia",77.11,53.58,50,77.55,52.03,45.9311336580963,27.8129702081898,51.9272982367837
"Comores",87.3,54.95,4,86.39,53.21,0.123980985397339,0.0750749911575582,0.140166311860302
"Costa Rica",71.7,53.55,38.4,71.98,53.06,15.0034336748886,9.08512419759691,16.9620846028131
"Croatia",93.53,52.3,61.8,91.66,51.24,51.7616174455203,31.3435399756611,58.5189332865083
"Cuba",85.1,50.53,97.4,85.22,50.44,783.790957436207,474.613901561717,886.112393938482
"Cyprus",78.61,49.01,99.2,78.45,48.96,2.98048062389374,1.80478930512597,3.36957296543026
"Democratic Republic of the Congo",77.07,53.52,28.3,76.5,52.87,2.22677493231596,1.34839312510482,2.517473373884
"Denmark",87.45,48.54,91.3,86.56,47.93,263.729987562333,159.698089354354,298.159105326558
"Dominican Republic",88.12,51.91,82.2,86.42,51.4,17.3728014126358,10.5198624470978,19.6407658229733
"East Timor",81.55,53.85,51.8,79.95,52.68,0.298483620544433,0.180742676800262,0.33744971544097
"Ecuador",67.63,54.6,9.4,75.68,53.12,0.954283135490417,0.577853109726031,1.07886178790645
"Egypt",71.26,49.4,94.8,70.6,49.12,176.829119791245,107.076456620996,199.913603454666
"El Salvador",73.08,52.04,94.8,73.48,51.94,3.80319875887262,2.30297502699899,4.29969435711789
"Equatorial Guinea",83.5,53.27,72.7,83.12,52.83,0.217272890823364,0.13156662939131,0.245637181188194
"Estonia",114.09,45.82,93.1,113.74,45.09,269.4490538246,163.161191762301,304.624777644757
"Federal Republic of Somalia",60.39,52.47,100,60.39,52.47,0.267443812446594,0.161946945253128,0.302357758331722
"Finland",98.54,50.83,79.8,96.33,49.61,8.03611084325791,4.86615708501776,9.08519975857699
"France",78.41,49.83,89.8,77.83,49.23,678.473853407935,410.840568672625,767.046474272325
"Gabon",77.45,53.28,65.6,76.3,52.27,34.6934576750412,21.0081491111841,39.2225791108802
"Gambia",63.29,53.95,24.3,61.6,53,40.4971861632628,24.52251757291,45.783966041509
"Georgia",89.32,51.39,86.1,88.01,50.93,65.0394757817459,39.3837656117839,73.5301741346736
"Germany",78.36,46.39,97.6,77.71,46.19,346.034734309341,209.536603820535,391.208477076202
"Ghana",71.94,52.63,90.1,70.95,52.46,16.9567131174088,10.267905866943,19.1703585136322
"Greece",81.27,49.85,93.6,80.75,49.57,213.349755002252,129.191028115551,241.201892363783
"Guatemala",90,53.03,62.1,92.11,51.98,11.556800858574,6.99806280363475,13.0655047470291
"Guinea",74.7,66.02,0,NA,NA,3.28094929707336,1.98673400341813,3.70926687586477
"Guinea-Bissau",63.46,57.03,10,59.19,52.23,68.8186609540682,41.6721995396607,77.8027200072839
"Guyana",74,59.96,0,NA,NA,33.2818420594754,20.1533645688865,37.6266815305847
"Haiti",73.48,53.7,42.8,72.45,52.39,38.6446420082626,23.4007347800898,43.689578092159
"Honduras",81.24,54.44,18.7,74.83,52.92,393.118293545925,238.047409586633,444.43864641465
"India",64.84,55.75,31.1,69.72,52.13,52.3024802493057,31.6710520540779,59.1304040228158
"Indonesia",75.82,59.06,0.4,86.01,52.32,170.730555923566,103.383554624997,193.018891316046
"Iran",92.16,54,16.4,64.41,46.96,11.0989706204453,6.72082996047723,12.5479062158434
"Iraq",95.1,55.38,0,NA,NA,1.53767723656464,0.931119433905924,1.73841614817035
"Ireland",88.31,45.36,96.4,87.56,45.06,130.694863422589,79.1404882316713,147.756665478345
"Israel",73.82,45.42,100,73.82,45.42,0.0875695382995605,0.0530265370326058,0.0990014652280889
"Italy",78.54,48.43,97,77.4,48.24,228.717124624892,138.496528752097,258.575423604048
"Ivory Coast",81.62,52.96,69.6,81.69,51.76,2.55520206338501,1.54726768544075,2.88877563067181
"Jamaica",83.31,51.69,97.4,83.21,51.64,20.6782428835602,12.5214273516368,23.3777222487085
"Japan",86.14,54.01,43,84.16,51.62,267.641536731014,162.066674491098,302.58129489762
"Kenya",61.11,53.48,57.2,58.6,52.96,1.5739428935318,0.953079606809913,1.77941617223039
"Kuwait",101.81,53.4,29.8,95.18,51.75,0.892080247787476,0.540187001255392,1.00853850947436
"Latvia",95.12,49.23,89.5,94.87,48.44,163.608665110951,99.0709909841401,184.967260128596
"Liberia",89.13,61.84,0,NA,NA,0.535565944862366,0.324304637892436,0.605482389164386
"Libya",74.37,46.79,100,74.37,46.79,2.00821255284882,1.21604566348977,2.27037836537813
"Lithuania",87.18,49.67,85.7,86.73,48.77,37.9740730398231,22.9946809064673,42.9314684606465
"Madagascar",71.52,53.96,37.6,65.06,51.27,153.321910275742,92.8419871911929,173.337601906075
"Malaysia",82.55,58.55,0,NA,NA,3.65185566166687,2.21133128301627,4.1285938960846
"Mauritania",70.38,50.08,98.8,70.45,50.03,28.2633825237121,17.114504988407,31.9530779365032
"Mexico",79.68,49.59,90.7,79.25,49.06,1194.6863992032,723.426020278752,1350.64893918459
"Montenegro",90.85,54.28,31.4,92.88,50.81,26.6645933965836,16.1463800844364,30.1455719332741
"Morocco",59.22,48.77,87.5,58.37,48.05,43.019871939617,26.050095465166,48.6359804864725
"Mozambique",63.81,52.96,55.8,63.72,51.7,1343.18852149005,813.349450729267,1518.53754498706
"Myanmar",59.41,68.44,0,NA,NA,122.993236625954,74.4768733894183,139.049615603324
"Namibia",75.56,49.63,97.3,75.59,49.43,4.08380448475046,2.47289198903575,4.61693227515127
"Netherlands",82.41,47.24,86.5,75,45.8,183.325621811004,111.010324626041,207.258203315559
"New Zealand",92.06,52.51,70,90.14,49.46,244.819224475745,148.246935236178,276.779601785622
"Nicaragua",76.51,54.95,12.9,79.17,52.99,559.71799637323,338.929582578946,632.787414796249
"Nigeria",78.18,54.01,31.7,79.77,52.82,21.4247458084412,12.9734619947308,24.2216787750916
"North Korea",63.56,53.57,41.4,58.94,52.26,80.0100900792562,48.4490164839787,90.4551548939421
"Norway",94.19,50.14,85.7,92.6,49.31,4.71720487565231,2.85643893854379,5.33302108860163
"Oman",73.79,50.69,91.9,74.38,50.43,0.853556267227173,0.516859331365935,0.964985344801486
"Pakistan",56.76,51.23,99.5,56.75,51.22,1.94403805987548,1.17718567639519,2.19782609482834
"Panama",72.71,56.51,6.1,72.14,51.88,2.4512124106369,1.48429817253099,2.77121045686211
"Papua New Guinea",81.76,58.32,3,88.16,52.82,53.2512886149825,32.2455899917714,60.2030763269832
"Peru",72.84,52.37,68.9,71.28,51.43,10.0831197967911,6.10569537867972,11.3994392723397
"Philippines",75.59,53.1,81.4,71.95,52.24,7.28475253756714,4.41118233243685,8.23575399673891
"Poland",95.84,49.29,95.3,95.28,49.03,161.172045268819,97.5955291420186,182.212547254016
"Portugal",58.56,44.17,97.6,58.33,43.89,157.698632227968,95.4922513491157,178.285691099878
"Qatar",87.48,48.46,100,87.48,48.46,0.645633406402588,0.390954484845858,0.72991881052751
"Republic of the Congo",79.2,53.31,74.4,78.33,52.52,1.78448046365357,1.08056775480752,2.01743875785045
"Romania",91.26,51.93,97.3,91.21,51.88,667.227914479857,404.030744062197,754.332413499997
"Russia",106.1,56.11,26.2,91.1,51.04,5140.54057458923,3112.78408495888,5811.62192734011
"Saudi Arabia",54.08,46.47,84.7,51.86,44.56,1.9105657088852,1.15691695174709,2.15998403402712
"Senegal",63.9,51.45,95.5,63.93,51.33,52.4327722779888,31.7499486112389,59.2777052647503
"Sierra Leone",67.96,57.92,0,NA,NA,21.0827475116574,12.7663696004846,23.8350336797243
"Slovenia",93.93,50.52,99.9,93.92,50.51,1.2169057802297,0.736880662768849,1.37576899029826
"South Africa",82.69,47.23,96.6,82.32,46.97,89.1464306357796,53.9814026341226,100.784215883443
"South Korea",61.36,54.42,18.3,63.12,52.85,180.826360269341,109.496930958943,204.432671065217
"Spain",62.07,46.21,98.3,61.99,46.05,341.474089368173,206.774967610485,386.052454327559
"Sri Lanka",85.59,54.04,36,87.91,52.12,6.15415036682129,3.72656164080874,6.95755527984035
"Suriname",69.21,57.06,0,NA,NA,42.4387124804382,25.6981822978432,47.9789524935528
"Sweden",94.47,49.54,87.9,93.3,48.69,117.084142429398,70.8987021631305,132.369107803585
"Syria",79.31,47.67,100,79.31,47.67,0.111371154029846,0.0674392801218791,0.125910306793901
"Taiwan",64.99,52.95,60.6,63.93,50.42,2.24352864780426,1.35853810853199,2.53641423406853
"Tanzania",69.21,53.49,42.5,70.07,52.57,5.94723627313232,3.60126763943999,6.72362920406871
"Thailand",82.76,54.15,40,86.4,51.92,18.2533789635696,11.0530841474903,20.6362999948127
"Togo",74.65,52.56,84.1,73.79,52.28,5.21723694168854,3.15922652178372,5.89833076317443
"Tonga",96.57,56.39,0,NA,NA,0.100173462463379,0.0606586710418385,0.113250791924014
"Trinidad and Tobago",83.08,51.35,71.6,80.56,50,0.603809856613159,0.365628805907622,0.682635328273337
"Tunisia",66.59,46.31,98.5,65.53,46.15,53.7980930880279,32.5766999667989,60.8212643987255
"Turkey",88.35,49.08,94,88.35,48.75,252.439795387582,152.861467795248,285.395014185829
"Ukraine",87.8,52.14,87.4,87.64,51.76,923.816369261469,559.40437585037,1044.41768147403
"United Arab Emirates",62.84,44.61,97,62.17,44.28,7.36592989597321,4.46033817230211,8.32752880315679
"United Kingdom",88.53,42.84,98,87.97,42.6,535.857182321679,324.480992755342,605.811646755109
"United States",86.71,42.45,84.4,82.76,39.99,18509.7153509472,11208.3051433071,20926.1002887784
"Uruguay",83.39,51.17,85.1,83.02,50.5,286.623597848168,173.561002157195,324.041404202054
"Vanuatu",109.02,56.25,0,NA,NA,0.135408948928833,0.0819950382787051,0.153086159973704
"Venezuela",79.24,54.59,30.1,80.62,51.32,165.196880480133,100.032713093506,186.762812003141
"Vietnam",77.34,54.97,36.8,81.24,52.51,12.0804360385971,7.31514292994635,13.6574988476481
"Western Sahara",63.74,50.88,100,63.74,50.88,0.262278571205139,0.158819204016953,0.296518211143392
